Route,Route Type,numero_vuelo,NB/WB,Flt Desg,Eff Date,Dis Date,Freq,Fleet,Equip,Service Type,Dept Arp,Dept Time,Arvl Arp,Arrv Time,Saleable config.,demora,TA,BU,owner,Provider Catering,Centralized Cat,Icebridge,Cycle_BC/PE,Cycle_YC,Cycle_Crew,bc_serv_1,bc_serv_2,bc_serv_3,pe_serv_1,pe_serv_2,yc_serv_1,yc_serv_2,yc_serv_3,yc_serv_4,crew_serv_1,crew_serv_2,crew_serv_3,crew_serv_4,"Provider
APV","Type
APV",Centralized APV,"Service
Bar",type_pdto,Cod_letter_triptico,PRINT,BOARDING,ttl_wkly_freq,mon,tue,wed,thu,fri,sat,sun,30-sept-24,31-oct-24,30-nov-24,31-dic-24,31-ene-25,Docs prov.,1,2,3,4,5,Config. Supply Planning,Dept Arp type,Provider Catering type,BC_PE rule group,BC_PE rule,YC rule group,YC rule,TC rule group,TC rule
LIMSCL,Corporate,LA2378,NB,LA2377,9/1/2024,9/1/2024,......7,320,328,J,LIM,12:05:00 a. m.,SCL,4:40:00 a. m.,W16Y156,3:35:00,12:50:00 a. m.,REG,LP,LIM,No,No,CV,CV,CV,0,0,0,SSPY,0,HLD2,0,0,0,SS00,BF00,0,0,LIM,SH,Yes,PEC,TRIP PEC,LIM-SSPY-0-CV-TRIP PEC,LIM,LIM,1,,,,,,,X,1,0,0,0,0,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-1,YNM04B,YNM04B-1,TCLPM01,TCLPM01-1
LIMBOG,Leisure,LA2445,NB,LA2444,9/1/2024,9/8/2024,12....7,320,38R,J,LIM,12:05:00 a. m.,BOG,3:20:00 a. m.,W8Y168,3:15:00,1:50:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,CSPY,0,SPM2,0,0,0,SS00,BF00,0,0,LIM,LR,Yes,0,0,0,0,0,3,X,X,,,,,X,4,0,0,0,0,LIM,0,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-1,YNM02,YNM02-1,TCLPM01,TCLPM01-1
LIMJFK,,LA2691,WB,LA2468,9/1/2024,10/26/2024,1234567,767,76N,J,LIM,12:05:00 a. m.,JFK,9:05:00 a. m.,J19Y211,8:00:00,4:50:00 a. m.,LH,LP,LIM,No,No,CV,CV,CV,HD00,HB00,0,0,0,FHS0,FHB1,0,0,HLBC,BF00,HB00,BF00,LIM,LH,No,LH,CM,LIM-HD00-HB00-0-CV-CM,LIM,LIM,7,X,X,X,X,X,X,X,30,26,0,0,0,LIM,0,0,0,0,0,J20Y220,HUB,HUB,BCM05,BCM05-1,YWM06C,YWM06C-1,TCLPM03,TCLPM03-1
LIMMIA,,LA2481,WB,LA2480,9/1/2024,9/30/2024,1234567,767,76N,J,LIM,12:15:00 a. m.,MIA,7:15:00 a. m.,J20Y213,6:00:00,9:50:00 a. m.,LH,LP,LIM,No,No,CV,CV,CV,HBE0,0,0,0,0,FHS0,0,0,0,HLD2,BF00,HB00,BF00,LIM,LH,No,SH,TRIP BC,LIM-HBE0-0-0-CV-TRIP BC,LIM,LIM,7,X,X,X,X,X,X,X,30,0,0,0,0,LIM,0,0,0,0,0,J20Y220,HUB,HUB,piloto,piloto,YWM05C,YWM05C-1,TCLPM03,TCLPM03-1
LIMMIA,,LA2481,WB,LA2480,10/1/2024,10/26/2024,1234567,767,76N,J,LIM,12:15:00 a. m.,MIA,7:15:00 a. m.,J20Y213,6:00:00,9:50:00 a. m.,LH,LP,LIM,No,No,CV,CV,CV,HD20,0,0,0,0,FHS0,0,0,0,HLD2,BF00,HB00,BF00,LIM,LH,No,SH,TRIP BC,LIM-HD20-0-0-CV-TRIP BC,LIM,LIM,7,X,X,X,X,X,X,X,0,26,0,0,0,LIM,0,0,0,0,0,J20Y220,HUB,HUB,BCM04,BCM04-1,YWM05C,YWM05C-1,TCLPM03,TCLPM03-1
LIMGRU,Corporate,LA3255,NB,LA8005,9/1/2024,9/5/2024,12.4..7,320,328,J,LIM,12:15:00 a. m.,GRU,7:10:00 a. m.,W16Y156,4:55:00,12:00:00 a. m.,REG,JJ,LIM,No,No,CV,CV,CV,0,0,0,SSPY,0,HLD2,0,0,0,HLDE,HB00,0,0,GRU,SH,Yes,PEC,TRIP PEC,LIM-SSPY-0-CV-TRIP PEC,GRU,GRU,4,X,X,,X,,,X,4,0,0,0,0,GRU,TARJETA EMBARQUE - DESEMBARQUE BRASIL IN,0,0,0,0,W12Y162,HUB,HUB,PCM03,PCM03-1,YNM04B,YNM04B-1,TCJJM02,TCJJM02-1
MIALIM,,LA2694,WB,LA2699,9/1/2024,9/30/2024,1234567,767,76N,J,MIA,12:20:00 a. m.,LIM,5:00:00 a. m.,J20Y213,5:40:00,8:30:00 a. m.,LH,LP,MIA,No,No,CV,CV,CV,HBE0,0,0,0,0,FHS0,0,0,0,HLD2,BF00,HB00,BF00,MIA,REPO,No,SH,TRIP BC,MIA-HBE0-0-0-CV-TRIP BC,SCL,MIA,7,X,X,X,X,X,X,X,30,0,0,0,0,LIM,0,0,0,0,0,J20Y220,Caterer,Caterer,piloto,piloto,YWM05C,YWM05C-1,TCLPM03,TCLPM03-1
SCLBOG,,LA0575,WB,LA0572,9/1/2024,9/6/2024,1...5.7,788,788,J,SCL,12:25:00 a. m.,BOG,5:40:00 a. m.,J30Y217,6:15:00,1:35:00 a. m.,REG,LA,SCL,No,No,CV,CV,CV,HD20,0,0,0,0,HLD0,SNA0,0,0,HLD2,HB00,BF00,0,SCL,SH,Yes,SH,TRIP BC,SCL-HD20-0-0-CV-TRIP BC,SCL,SCL,3,X,,,,X,,X,3,0,0,0,0,SCL,0,0,0,0,0,J30Y220,HUB,HUB,BCM04,BCM04-1,YWM05B,YWM05B-1,TCLAM02,TCLAM02-1
LIMUIO,Leisure,LA1454,NB,LA1424,9/1/2024,9/8/2024,1..4..7,320,3SP,J,LIM,12:30:00 a. m.,UIO,2:30:00 a. m.,W12Y162,2:00:00,6:41:00 a. m.,REG,XL,LIM,No,No,CV,CV,CV,0,0,0,CSPY,0,SPM2,0,0,0,SS00,BF00,0,0,LIM,LR,No,0,0,0,0,0,3,X,,,X,,,X,4,0,0,0,0,UIO,0,0,0,0,0,W12Y162,HUB,HUB,PCM02,PCM02-1,YNM02,YNM02-1,TCXLM01,TCXLM01-1
LIMCOR,Leisure,LA2365,NB,LA2364,9/1/2024,9/29/2024,1234.67,319,319,J,LIM,12:30:00 a. m.,COR,6:10:00 a. m.,W8Y132,3:40:00,1:55:00 a. m.,REG,LP,LIM,Yes,Yes,CV,CV,CV,0,0,0,SSPY,0,HLDE,0,0,0,SS00,BF00,0,0,LIM,SH,Yes,PEL,TRIP PEL,LIM-SSPY-0-CV-TRIP PEL,LIM,LIM,6,X,X,X,X,,X,X,25,0,0,0,0,LIM,0,0,0,0,0,W12Y126,HUB,HUB,PCM03,PCM03-1,YNM04,YNM04-1,TCLPM01,TCLPM01-1
